127.0.0.1 - - [28/Sep/2021:11:56:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:56:30 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:57:25 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [28/Sep/2021:11:57:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:36:19 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:40:17 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 500 3891
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:43:55 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:44:09 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:50:07 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [28/Sep/2021:12:52:27 +0900] "GET /JSPBook/hello.jsp HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:01:42 +0900] "GET /JSPBook/ch02/expression01.jsp HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [28/Sep/2021:13:13:04 +0900] "GET /JSPBook/ch03/ex01.jsp HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:18:46 +0900] "GET /JSPBook/ch03/ex02_error.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:18:56 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:23:58 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 500 108
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:25:24 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 500 3062
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:26:07 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 500 3062
0:0:0:0:0:0:0:1 - - [28/Sep/2021:14:36:57 +0900] "GET /JSPBook/ch03/ex02.jsp HTTP/1.1" 500 2643
0:0:0:0:0:0:0:1 - - [28/Sep/2021:15:04:48 +0900] "GET /JSPBook/ch03/ex04.jsp HTTP/1.1" 200 55
